City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Saint-Paul,RE,77.09,few clouds,-21.0096,55.2707,Boucan Canot
4,Fare,PF,78.57,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
6,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
13,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
16,Mahebourg,MU,75.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
25,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
30,Shintomi,JP,81.72,few clouds,32.0785,131.4723,ホテルスイート
33,Butaritari,KI,82.89,clear sky,3.0707,172.7902,Isles Sunset Lodge
36,Ewa Beach,US,82.35,broken clouds,21.3156,-158.0072,Uncle Junior Robert
39,Faanui,PF,78.67,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
40,Fukue,JP,80.96,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
43,Dawei,MM,84.29,overcast clouds,14.0833,98.2,Hotel Dawei
45,Tirumullaivasal,IN,88.03,moderate rain,11.2333,79.8333,Almupaark complex
49,Sao Filipe,CV,79.68,few clouds,14.8961,-24.4956,Hotel Xaguate
55,Ambovombe,MG,76.84,clear sky,-25.1667,46.0833,RELAHARA
57,Georgetown,MY,89.55,few clouds,5.4112,100.3354,Cititel Penang
59,Airai,TL,79.16,broken clouds,-8.9266,125.4092,Juvinal Martin
65,Atuona,PF,77.86,few clouds,-9.8,-139.0333,Villa Enata
66,Wahiawa,US,79.12,overcast clouds,21.5028,-158.0236,Aloha Wahiawa
69,Saint-Philippe,RE,76.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
77,Kapaa,US,75.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
78,San Pedro,PH,87.31,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
81,Dingle,PH,76.19,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
82,Yatsushiro,JP,84.6,scattered clouds,32.5,130.6,Toyoko Inn
84,Vung Tau,VN,84.47,overcast clouds,10.346,107.0843,Green hotel
94,Magomeni,TZ,77.52,broken clouds,-6.8,39.25,Conway Hotel
96,Kavaratti,IN,82.06,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
101,Omboue,GA,75.76,overcast clouds,-1.5746,9.2618,Hotel Olako
106,Phan Thiet,VN,85.06,moderate rain,10.9333,108.1,Hotel Saigon-PT
107,Makakilo City,US,80.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
108,Muana,BR,75.06,broken clouds,-1.5283,-49.2167,Pousada Bella do Marajó
110,Wanning,CN,83.66,broken clouds,18.8003,110.3967,Paradise Hotel
116,Cap Malheureux,MU,75.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
117,Puerto Escondido,MX,80.1,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
118,Angoche,MZ,78.31,clear sky,-16.2325,39.9086,Guest House HESADA
122,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
132,Kendari,ID,89.26,overcast clouds,-3.945,122.4989,Hotel Wixel
140,Coari,BR,76.33,scattered clouds,-4.085,-63.1414,HOTEL ALEX FLAT
141,Buchanan,LR,75.61,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
144,Lavras Da Mangabeira,BR,80.74,clear sky,-6.7533,-38.9644,Pousada Lavras
145,Umm Lajj,SA,81.09,broken clouds,25.0213,37.2685,Moon light Furnished Units
148,Hasaki,JP,82.8,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
150,Rabaul,PG,84.97,overcast clouds,-4.1967,152.1721,Rabaul Hotel
151,Bengkulu,ID,82.96,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
153,Kathmandu,NP,77.22,scattered clouds,27.7167,85.3167,Hotel Shanker Kathmandu
161,Hithadhoo,MV,83.7,broken clouds,-0.6,73.0833,Scoop Guest House
166,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
168,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
170,Amahai,ID,82.83,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
171,Tanabe,JP,81.61,few clouds,33.7333,135.3667,美吉屋旅館
173,Poum,NC,75.65,few clouds,-20.2333,164.0167,Gîte kajeon
183,Flinders,AU,79.05,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
184,Wenzhou,CN,84.88,scattered clouds,27.9994,120.6668,温州喜来登酒店
185,Chabahar,IR,83.08,broken clouds,25.2919,60.643,هتل گدروشیا
188,Kothapet,IN,86.11,scattered clouds,19.3333,79.4833,Andhavelly Village
189,Shimoda,JP,83.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
191,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
195,Pangai,TO,77.11,light intensity shower rain,-19.8,-174.35,Ha'apai Beach Resort
201,San Patricio,US,80.83,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
203,Yulara,AU,80.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
215,Mayumba,GA,75.15,overcast clouds,-3.432,10.6554,LIKWALE LODGE
218,Cabo San Lucas,MX,83.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
222,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
223,Cockburn Town,TC,81.1,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
225,Katsuura,JP,80.71,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
232,Champasak,LA,86.88,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
237,Sinnamary,GF,78.67,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
241,Caravelas,BR,75.15,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
245,Seoul,KR,80.08,light rain,37.5683,126.9778,Lotte Hotel Seoul
255,Bambous Virieux,MU,75.22,light rain,-20.3428,57.7575,Casa Tia Villa
260,Omachi,JP,82.42,scattered clouds,36.5,137.8667,Ochicochi Village
261,Sinazongwe,ZM,79.32,overcast clouds,-17.2614,27.4618,Lakeview Lodge
262,Souillac,MU,75.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
263,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
266,Yamada,JP,78.15,scattered clouds,39.4667,141.95,Iroha-ya Inn
267,Mucurapo,TT,77.13,broken clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
273,Wajima,JP,83.08,clear sky,37.4,136.9,Wajiima Onsen Yashio
277,Kashan,IR,75.31,clear sky,33.9831,51.4364,Manouchehri Traditional House
279,Tual,ID,81.52,few clouds,-5.6667,132.75,Grand Vilia Hotel
280,Naze,JP,85.12,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
284,Acapulco,MX,79.86,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
285,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
290,Port Blair,IN,85.1,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
294,Roura,GF,81.97,scattered clouds,4.7263,-52.3274,Amazonie Découverte SARL
296,Tottori,JP,87.87,broken clouds,35.5,134.2333,Hotel Monarque Tottori
297,Placido De Castro,BR,75.02,scattered clouds,-10.3353,-67.1856,Hotel Carioca
299,Gabriel Leyva Solano,MX,84.02,overcast clouds,25.6667,-108.6417,The Big Boss House
307,Banda Aceh,ID,85.08,few clouds,5.5577,95.3222,Sulthan Hotel International
310,Lucea,JM,78.66,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
312,Sibolga,ID,86.29,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
313,Labuhan,ID,86.49,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
315,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
325,Kimbe,PG,87.66,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
327,Arlit,NE,83.16,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
328,Akyab,MM,85.68,broken clouds,20.15,92.9,Hotel Memory
334,Domoni,KM,77.18,broken clouds,-12.2569,44.5319,Al Djadid
340,Nouakchott,MR,76.93,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
342,Izumo,JP,87.69,clear sky,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
343,Meulaboh,ID,84.02,overcast clouds,4.1363,96.1285,Kost Pria
345,Kantang,TH,89.69,few clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
346,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
347,Bagnan,IN,89.49,scattered clouds,22.9242,88.14,Sachin DAS Beautiful House
348,Tezu,IN,76.1,overcast clouds,27.9167,96.1667,Circuit House
350,Bayonet Point,US,78.75,overcast clouds,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
354,Mana,GF,78.64,clear sky,5.6592,-53.7767,LE SAMANA
359,Hilo,US,78.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
360,Tuy Hoa,VN,85.33,heavy intensity rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
362,Sibu,MY,88.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
363,Granja,BR,77.9,few clouds,-3.1203,-40.8261,Pousada Casa Grande
365,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
367,Ulladulla,AU,78.87,clear sky,-35.35,150.4667,Sandpiper Motel
372,Vila Do Maio,CV,81.39,few clouds,15.1333,-23.2167,Hotel Marilu
379,Tres Lagoas,BR,76.37,broken clouds,-20.7511,-51.6783,Druds Express Hotel
381,Birganj,NP,84.11,clear sky,27.0104,84.8774,Capital O 716 Hotel Vishuwa
385,Sorong,ID,86.95,overcast clouds,-0.8833,131.25,waigo splash hotel
387,Sironj,IN,85.12,clear sky,24.1,77.7,shri shyam palace sironj
389,Paciran,ID,85.24,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
392,Caucaia,BR,83.07,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
399,Kieta,PG,83.05,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
404,Ciudad Bolivar,VE,76.1,broken clouds,8.1222,-63.5497,Hotel Edi
405,Bandarbeyla,SO,83.05,scattered clouds,9.4942,50.8122,JABIR HOTEL
406,Kawalu,ID,81.54,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
407,Kalmunai,LK,79.56,heavy intensity rain,7.4167,81.8167,VS Villa
408,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
410,Kahului,US,77.02,broken clouds,20.8947,-156.47,Maui Seaside Hotel
411,Srandakan,ID,81.84,broken clouds,-7.9386,110.2506,Puri Brata
412,Rio Verde De Mato Grosso,BR,81.45,broken clouds,-18.9181,-54.8442,Hotel Valência
418,Bourail,NC,78.49,scattered clouds,-21.5667,165.4833,Motel Allamanda
423,Kamaishi,JP,83.35,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
427,Namatanai,PG,85.46,light rain,-3.6667,152.4333,Seagulls Inn Namatani
428,Dakar,SN,79.68,broken clouds,14.6937,-17.4441,Redface Studios Meublés
431,Iranshahr,IR,84.54,clear sky,27.2025,60.6848,نیک سرشت
432,Saint George,US,77.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
434,Yanam,IN,90.0,few clouds,16.7333,82.2167,The Regency Hotel
436,Itoman,JP,88.57,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
439,Kavieng,PG,84.06,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
440,Muli,MV,84.07,clear sky,2.9167,73.5667,Medhufushi Island Resort
442,Bambanglipuro,ID,82.02,broken clouds,-7.95,110.2833,Puri Brata
443,Ouro Preto Do Oeste,BR,76.26,scattered clouds,-10.7481,-62.2158,Graúna Resort Hotel
444,Mitsamiouli,KM,79.09,scattered clouds,-11.3847,43.2844,Foyer ADM
447,Lorengau,PG,86.09,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
452,Boueni,YT,82.38,broken clouds,-12.9025,45.0761,The feet in water
461,Martapura,ID,80.69,moderate rain,-3.4167,114.85,Montana Hotel Syariah
462,Gizo,SB,83.8,broken clouds,-8.103,156.8419,Imagination Island
463,Hervey Bay,AU,82.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
466,Riyadh,SA,82.45,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
467,Phetchaburi,TH,86.11,overcast clouds,12.9667,99.5833,ไร่แม่คะเมยฮิลล์ แก่งกระจาน เพชรบุรี
468,Bhanpuri,IN,86.31,few clouds,21.1,80.9167,Bholaram Verma
473,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
475,Tahoua,NE,83.23,clear sky,14.8888,5.2692,Bungalows Guesthouse
479,Myitkyina,MM,81.0,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
483,Atambua,ID,85.68,clear sky,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
484,Sabancuy,MX,80.02,scattered clouds,18.9667,-91.1833,Casa Chakchel
488,Tura,IN,80.62,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
491,Ibra,OM,80.38,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
492,Conceicao Do Araguaia,BR,76.55,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
494,Voh,NC,80.1,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
497,Hobyo,SO,81.46,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
501,Galesong,ID,87.82,scattered clouds,-5.3166,119.3661,Sapriadi Appy
504,Tamiahua,MX,75.38,broken clouds,21.2667,-97.45,Mission Of The Sun Hotel
506,Chenghai,CN,89.51,few clouds,23.4632,116.768,Guangdong Hotel
509,Jamshedpur,IN,82.22,haze,22.8,86.1833,Madhuban Motel
516,Himeji,JP,85.95,few clouds,34.8167,134.7,Hotel Nikko Himeji
520,Miramar,US,81.01,clear sky,25.9873,-80.2323,Miramar
521,Kyaikkami,MM,83.19,broken clouds,16.08,97.5675,St. joseph catholic church
524,Havelock,US,75.94,broken clouds,34.8791,-76.9013,Sherwood Motel
525,Kirakira,SB,82.56,overcast clouds,-10.4544,161.9205,SanBiz Lodge
528,Pontes E Lacerda,BR,77.68,broken clouds,-15.2261,-59.3353,Hotel Bressan
529,Destin,US,78.76,scattered clouds,30.3935,-86.4958,Inn On Destin Harbor-Ascend Hotel Collection
533,Honiara,SB,82.69,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
537,Nelson Bay,AU,83.28,clear sky,-32.7167,152.15,Mantra Nelson Bay
539,Mocuba,MZ,81.99,clear sky,-16.8392,36.9856,Phama Lodge
541,Trairi,BR,78.75,few clouds,-3.2778,-39.2689,janelas do mar
545,Ascension,US,77.0,scattered clouds,30.2169,-90.9001,Highland Inn
546,Punto Fijo,VE,82.11,scattered clouds,11.6956,-70.1996,Santa Fe Inn Hotel
553,Axim,GH,76.37,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
555,Anloga,GH,80.82,clear sky,5.7947,0.8973,Pin Drop Hotel
565,Sabang,ID,81.91,few clouds,5.8933,95.3214,Hotel Citra
566,Kakching,IN,78.58,overcast clouds,24.4833,93.9833,Dorendro Yengkhom's Shanghai
569,Morondava,MG,79.54,clear sky,-20.2833,44.2833,La Case Bambou
570,Bama,NG,75.97,overcast clouds,11.5221,13.6856,UN Humanitarian Hub
575,Pundaguitan,PH,82.56,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
576,Tautira,PF,77.02,few clouds,-17.7333,-149.15,Pension Oaoa
584,Ranong,TH,89.53,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
588,Key West,US,84.2,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
590,Inirida,CO,76.71,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
597,Weligama,LK,83.89,overcast clouds,5.9667,80.4167,Weligama Bay Resort
598,Marsh Harbour,BS,80.24,few clouds,26.5412,-77.0636,Abaco Beach Resort
603,Wewak,PG,84.06,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
605,Alofi,NU,76.89,light rain,-19.0595,-169.9187,Taloa Heights
608,Half Moon Bay,US,75.02,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
610,Pascagoula,US,77.04,overcast clouds,30.3658,-88.5561,Regency Inn
611,Arrah,IN,82.29,clear sky,25.5667,84.6667,SPOT ON 48440 Ara Exotica SPOT
612,Fredericksburg,US,75.15,overcast clouds,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
615,Narasannapeta,IN,86.41,broken clouds,18.4167,84.05,G.lingaraju home
617,Odweyne,SO,75.42,overcast clouds,9.4092,45.064,Eng Hiirey House
621,Bay Saint Louis,US,78.89,scattered clouds,30.3088,-89.33,The Abode Guest House
623,Nishihara,JP,87.85,scattered clouds,26.1842,127.7558,Minshuku Agaihama
624,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
628,Oyama,JP,86.59,clear sky,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
631,Roebourne,AU,83.79,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
632,Buala,SB,83.23,light rain,-8.145,159.5921,Maringe Lagoon Lodge
633,Karratha,AU,82.76,clear sky,-20.7377,116.8463,ibis Styles Karratha
635,Wilmington,US,76.91,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
653,Praya,CV,81.14,scattered clouds,14.9215,-23.5087,LT Aparthotel
657,Araguacu,BR,80.83,overcast clouds,-12.9306,-49.8264,Hotel Tocantins
660,Morong,PH,88.92,light rain,14.5115,121.2393,Clarita De Luisa
661,Carutapera,BR,78.46,clear sky,-1.195,-46.02,Lidera
667,Kudahuvadhoo,MV,84.02,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
668,Kulhudhuffushi,MV,81.93,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
670,Oriximina,BR,75.24,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
676,Awallan,PH,84.24,moderate rain,17.9244,121.913,Bunuga Baggao Cagayan
681,Ugoofaaru,MV,82.63,broken clouds,5.6667,73.0,Ungoofaaru Inn
683,Phayao,TH,77.85,few clouds,19.25,100.25,chuthagarden
688,Najran,SA,79.45,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
692,Bam,IR,80.46,scattered clouds,29.106,58.357,Bam Tourist Hotel
697,Kerema,PG,83.19,broken clouds,-7.9631,145.7785,Frena Lodge
